Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
Stage II germ cell tumours: Optimal management,Anja Lorch ,"Zurich, Switzerland","Department of Medical Oncology and Hematology, University Hospital Zürich, Zürich, Switzerland.",,Bonn Auditorium - Hall 7.1c,10/17/2025,16:40 - 17:00,Educational Session,Updates in the management of penile and germ cell tumours
Timely integration of palliative care in oncology (TIPZO),Anna Reyners ,"Groningen, Netherlands","Department of Medical Oncology, University Medical Center Groningen, University of Groningen, Groningen, the Netherlands.",,Mainz Auditorium - CityCube B,10/17/2025,16:35 - 16:50,Special Session,Community of practice
Invited Discussant,Anne Letsch ,"Kiel, Germany","University Hospital Schleswig-Holstein, University Cancer Center Schleswig-Holstein, Kiel, Germany.",,Hanover Auditorium - Hall 7.2c,10/17/2025,16:30 - 16:40,Proffered Paper,Supportive and palliative care
Invited Discussant,Anne-Marie C. Dingemans ,"Rotterdam, Netherlands","Department of Pulmonary Diseases, Erasmus Medical Center, Rotterdam, Netherlands.",,Berlin Auditorium - Hub 27,10/17/2025,16:45 - 16:55,Proffered Paper,NSCLC metastatic
"START-001: Initial Phase 2 clinical activity of invikafusp alfa, a first-in-class T cell receptor (TCR) beta-chain-targeted bispecific antibody as monotherapy in patients with antigen-rich solid tumors resistant to immune checkpoint blockade (ICB)",Antoine Italiano ,"Bordeaux, France","Faculty of Medicine, University of Bordeaux, Bordeaux, France.",LBA55,Nuremberg Auditorium - Hall 5.2,10/17/2025,15:10 - 15:15,Mini Oral Session,Investigational immunotherapy
Efficacy and safety of Metronomic Cyclophosphamide (MC) VS Doxorubicin (DOXO) as first line treatment in older patients (PTS) with advanced soft tissue sarcomas (STS) - The METROPHOLYS trial.,Antonella Brunello ,"Padova, Italy","Department of Oncology, Medical Oncology 1 Unit, Istituto Oncologico Veneto IOV, IRCCS, Padova, Italy.",2692MO,Essen Auditorium - Hall 7.2a,10/17/2025,16:58 - 17:03,Mini Oral Session,Sarcoma
How will we treat unresectable stage IV melanoma?,Antoni Ribas ,"Los Angeles, United States of America, CA","Jonsson Comprehensive Cancer Center, University of California Los Angeles, CA, USA.",,Bremen Auditorium - Hall 6.2,10/17/2025,14:30 - 14:45,Symposium,Emerging new treatment options beyond immune checkpoint blockade (ICB)
Facing the challenge of HRD negative ovarian cancer,Antonio Gonzalez-Martin ,"Madrid, Spain","Department of Medical Oncology and Program in Solid Tumors Cima-Universidad de Navarra, Cancer Center Clínica Universidad de Navarra (CCUN), Madrid, Spain.",,Koblenz Auditorium - Hall 5.2,10/17/2025,14:25 - 14:50,Educational Session,Front line management of ovarian cancer
Invited Discussant,Antonio Marra ,"Milan, Italy","Department of Oncology and Haemato-Oncology, University of Milan, Milan, Italy.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,16:40 - 16:50,Mini Oral Session,Developmental therapeutics
Welcome and Introduction,Antonio Passaro ,"Milan, Italy","Division of Thoracic Oncology, European Institute of Oncology, IEO, IRCCS, Milan 20141, Italy.",,Flensburg Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,ADC Innovations in Targeting c-Met Protein
Antibody-Drug Conjugates Targeting c-Met Protein in NSCLC: Optimizing Outcomes,Antonio Passaro ,"Milan, Italy","Division of Thoracic Oncology, European Institute of Oncology, IEO, IRCCS, Milan 20141, Italy.",,Flensburg Auditorium - Hall 23,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,ADC Innovations in Targeting c-Met Protein
View of surgeon,Aoife Lowery ,"Galway, Ireland","University Hospital Galway, Galway, Ireland.",,Nuremberg Auditorium - Hall 5.2,10/17/2025,16:05 - 16:25,Multidisciplinary Session,"What to de-escalate and for which breast patients? De-escalation in breast surgery, radiation and systemic treatment"
"COTESARC - A multicentre, open-label, Phase I-II evaluating the combination of MEK and PDL-1 inhibitors in patients with advanced soft tissue sarcoma (STS)",Armelle Dufresne ,"Lyon, France, CEDEX 3","Department of Medical Oncology, Léon Bérard Cancer Center, Lyon, France.",2693MO,Essen Auditorium - Hall 7.2a,10/17/2025,17:03 - 17:08,Mini Oral Session,Sarcoma
Career path: Academia,Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Erfurt Auditorium - CityCube A,10/17/2025,16:00 - 16:00,Young Oncologists Session,Young Oncologists Mentorship session
"HCC Management Today: Balancing Safety, Efficacy, and Real-World Outcomes",Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Bremen Auditorium - Hall 6.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"Focus on HCC, CRC and the Broader GI Landscape"
Opening Remarks,Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Bremen Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,bridging science and practice in biliary tract cancer
Evolving Treatment Paradigms in Biliary Tract Cancer (BTC),Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Bremen Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,bridging science and practice in biliary tract cancer
Expert Exchange: Addressing the questions that matter,Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Bremen Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,bridging science and practice in biliary tract cancer
Key Takeaways & Forward Look,Arndt Vogel ,"Toronto, Canada","Toronto General Hospital, Princess Margaret Centre, University of Toronto, Toronto, ON, Canada.",,Bremen Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,bridging science and practice in biliary tract cancer
First interim efficacy analysis of the Phase 1/2 PETRANHA trial of saruparib + androgen receptor pathway inhibitors (ARPI) in patients (pts) with metastatic prostate cancer (mPC),Arun A. Azad ,"Melbourne, Australia","Sir Peter MacCallum Department of Oncology, University of Melbourne, Melbourne, Australia",2384MO,Heidelberg Auditorium - Hall 6.2,10/17/2025,14:35 - 14:40,Mini Oral Session,"GU tumours, prostate, penile and testis"
How I manage locally advanced and metastatic penile carcinoma,Asif Muneer ,"London, United Kingdom","Male Genital Cancer Centre, Department of Andrology, University College London Hospitals (UCLH) NHS Foundation Trust, London, UK, Division of Surgery and Interventional Science",,Bonn Auditorium - Hall 7.1c,10/17/2025,16:00 - 16:20,Educational Session,Updates in the management of penile and germ cell tumours
Low Dose Pembrolizumab in Addition to Neoadjuvant Anthracycline and Taxane in Triple Negative Breast Cancer: A Randomized Controlled Trial,Atul Batra ,"New Delhi, India","Medical Oncology, Dr. B.R.A. Institute Rotary Cancer Hospital, All India Institute of Medical Sciences (AIIMS), India.",LBA15,Munich Auditorium - CityCube B,10/17/2025,14:20 - 14:30,Proffered Paper,"Breast cancer, early stage"
Timely Testing in Prostate Cancer: Addressing the Unmet Needs,Axel Heidenreich ,"Koln, Germany","Center for Integrated Oncology (CIO) Köln-Bonn, Cologne, Germany.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Transforming Patient Outcomes in GU Oncology
National and EU HTA: Duplication or complementary?,Beate Wieseler ,"Cologne, Germany","Institute for Quality and Efficiency in Health Care, Cologne, Germany.",,Bochum Auditorium - Hall 6.1,10/17/2025,16:15 - 16:30,Educational Session,The future of health technology assessment (HTA) at the European level
Integrating germline genetics and peripheral immune responses,Benjamin P. Fairfax ,"Oxford, United Kingdom","Department of Oncology, University of Oxford, Oxford, UK.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,15:00 - 15:20,Educational Session,Systemic anti-tumour immunity in clinical outcomes
Invited Discussant,Bradley A. McGregor ,"Boston, United States of America","Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.",,Dortmund Auditorium - Hall 7.1a,10/17/2025,14:20 - 14:30,Proffered Paper,"GU tumours, renal & urothelial"
Welcome and Opening Remarks,Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
"Voting Round 1: EXPERTS PITCH, AUDIENCE PICKS",Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Panel discussion,Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Advancing the Science with VEGF-TKI + HIF-2a Therapies as a New Treatment Option,Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
"Voting Round 2: EXPERTS PITCH, AUDIENCE PICKS",Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Q&A session,Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Closing remarks,Brian I. Rini ,"Nashville, United States of America, OH","Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, TN, USA.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Optimizing Therapy Choice in Patients with Bone Metastases,Camillo Guglielmo Porta ,"Bari, Italy","University of Bari ""A. Moro"" and Division of Medical Oncology, Bari, Italy.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Panel discussion,Camillo Guglielmo Porta ,"Bari, Italy","University of Bari ""A. Moro"" and Division of Medical Oncology, Bari, Italy.",,Solingen Auditorium - Hall 23,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,"A NEW ERA OF CARE - EXPERTS PITCH, AUDIENCE PICKS"
Imaging,Caroline Caramella ,"Villejuif, France","Imaging Department, BIOMAPS, UMR1281, INSERM, CEA, CNRS, Villejuif, Paris, France.",,Bonn Auditorium - Hall 7.1c,10/17/2025,14:30 - 14:45,Symposium,Optimising the use of IO in the perioperative setting
Circulating markers,Charu Aggarwal ,"Philadelphia, United States of America","Abramson Cancer Center, University of Pennsylvania, Philadelphia.",,Bonn Auditorium - Hall 7.1c,10/17/2025,14:15 - 14:30,Symposium,Optimising the use of IO in the perioperative setting
Invited Discussant,Christine M. Lovly ,"Nashville, United States of America","Department of Medicine and Vanderbilt-Ingram Cancer Center, Vanderbilt University, Nashville, TN.",,Berlin Auditorium - Hub 27,10/17/2025,17:20 - 17:30,Proffered Paper,NSCLC metastatic
Common Sense Oncology: Outcomes that matter for patients and health systems,Christopher M. Booth ,"Kingston, Canada","Division of Cancer Care and Epidemiology, Sinclair Cancer Research Institute at Queen's University, Kingston, ON, Canada.",,Bochum Auditorium - Hall 6.1,10/17/2025,17:00 - 17:15,Educational Session,The future of health technology assessment (HTA) at the European level
Invited Discussant,Clara Steiner ,"Boston, United States of America","Dana-Farber Cancer Institute, Boston, MA, USA, Harvard Medical School, Boston, MA, USA.",,Dortmund Auditorium - Hall 7.1a,10/17/2025,15:10 - 15:20,Proffered Paper,"GU tumours, renal & urothelial"
Career path: Pharmaceutical industry,Cristian Massacesi ,"New York, United States of America","AstraZeneca, Gaithersburg",,Erfurt Auditorium - CityCube A,10/17/2025,16:00 - 16:00,Young Oncologists Session,Young Oncologists Mentorship session
"Patient (pt) reported outcomes (PROs) from AMPLITUDE, a randomized placebo-controlled phase 3 trial of niraparib (NIRA) and abiraterone acetate (AA) plus prednisone (P) in metastatic hormone-sensitive prostate cancer (mHSPC) with homologous recombination repair mutations (HRRm)",Dana E. Rathkopf ,"New York, United States of America, NY","Department of Medicine, Memorial Sloan Kettering Cancer Center, NY, USA.",LBA91,Heidelberg Auditorium - Hall 6.2,10/17/2025,14:00 - 14:05,Mini Oral Session,"GU tumours, prostate, penile and testis"
Methylation profiling of peripheral immune cells,Daniel De Carvalho ,"Toronto, Canada","University Health Network, ON M5G 1L7, Canada. Electronic address: daniel.decarvalho@uhn.ca.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,14:20 - 14:40,Educational Session,Systemic anti-tumour immunity in clinical outcomes
Proliferation and senescence,Daniel Munoz-Espin ,"Cambridge, United Kingdom","Early Cancer Institute, Department of Oncology, University of Cambridge, Cambridge, UK. dm742@cam.ac.uk.",,Koblenz Auditorium - Hall 5.2,10/17/2025,16:20 - 16:40,Educational Session,The hallmarks of pre-cancer
The convergence of radiology and pathology AI for precision oncology,Daniel Truhn ,"Aachen, Germany","Department of Radiology, University Hospital RWTH Aachen, Aachen, Germany.",,Hanover Auditorium - Hall 7.2c,10/17/2025,15:00 - 15:15,Educational Session,"AI-based image biomarkers in oncology, radiology and pathology"
Invited Discussant,Daniela S. Thommen ,"Amsterdam, Netherlands","The Netherlands Cancer Institute, Amsterdam, the Netherlands.",,Nuremberg Auditorium - Hall 5.2,10/17/2025,15:15 - 15:25,Mini Oral Session,Investigational immunotherapy
ESMO tools for HTA: The example of ESCAT in Italy,Dario Trapani ,"Milan, Italy","Department of Oncology and Haematology, University of Milan, Milan, Italy, European Institute of Oncology, IRCCS, Milan, Italy.",,Bochum Auditorium - Hall 6.1,10/17/2025,16:30 - 16:45,Educational Session,The future of health technology assessment (HTA) at the European level
"ESMO-MCBS and its role in reimbursement decisions: A tool to foster equity, access to medicines and the sustainability of healthcare systems",Dario Trapani ,"Milan, Italy","Department of Oncology and Haematology, University of Milan, Milan, Italy, European Institute of Oncology, IRCCS, Milan, Italy.",,Flensburg Auditorium - Hall 23,10/17/2025,14:50 - 15:05,Special Session,From evidence to reimbursement
"Regorafenib plus nivolumab vs investigator’s choice of chemotherapy in previously treated gastric or gastroesophageal cancer: INTEGRATE IIb, a randomized phase 3 AGITG  Intergroup [NHMRC-CTC/IKF/AIO, ACCRU, TCOG/NHRI] study",David Goldstein ,"Sydney, Australia, NSW","Prince of Wales Clinical School, University of New South Wales, Sydney, NSW, Australia.",LBA80,Hamburg Auditorium - CityCube A,10/17/2025,14:50 - 15:00,Proffered Paper,"GI tumours, upper digestive"
Clinical Outcomes and PD-L1 Expression Analyses from a Trial of mRNA-4359 Plus Pembrolizumab in Checkpoint Inhibitor-Resistant/Refractory (CPI-R/R) Melanoma,David J. Pinato ,"London, United Kingdom","Department of Surgery and Cancer, Imperial College London, Faculty of Medicine, Hammersmith Hospital, W120NN, London, UK, Department of Translational Medicine (DIMET)",1515MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,14:00 - 14:05,Mini Oral Session,Investigational immunotherapy
Clinical research in the general oncology practice setting,Deborah Mukherji ,"Dubai, United Arab Emirates","Clemenceau Medical Center Dubai, Dubai, American University of Beirut, Beirut",,Erfurt Auditorium - CityCube A,10/17/2025,16:00 - 16:00,Young Oncologists Session,Young Oncologists Mentorship session
Phase I first-in-human study of a novel anti-CD137 switch antibody agonist STA551 (STA) as monotherapy and in combination with atezolizumab (atezo) in patients (pts) with advanced solid tumors.,Diogo Silva ,"Senhora da Hora, Portugal","Center for Drug Discovery and Innovative Medicines (MedInUP) and RISE-Health: Health Research Network, Portugal.",1520MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,14:55 - 15:00,Mini Oral Session,Investigational immunotherapy
Presentation by Expert,Dirk Arnold ,"Hamburg, Germany","Asklepios Cancer Center, Hamburg, Germany.",,Cologne Auditorium - CityCube A,10/17/2025,16:15 - 16:35,Challenge Your Expert,Lessons learned and treatment options on the horizon
Scoring near-equivalence studies: A pragmatic approach to improve accessibility for patients and sustainability of healthcare systems,Dirk Arnold ,"Hamburg, Germany","Asklepios Cancer Center, Hamburg, Germany.",,Flensburg Auditorium - Hall 23,10/17/2025,14:05 - 14:20,Special Session,From evidence to reimbursement
Phase Ia results for systemic STING agonist BI 1703880 plus ezabenlimab in patients (pts) with advanced solid tumors: Progress to date,Eileen E. Parkes ,"Oxford, United Kingdom","Department of Oncology, Oxford University, Oxford, UK.",1519MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,14:35 - 14:40,Mini Oral Session,Investigational immunotherapy
Welcome and Introductions​,Elena Castro Marcos ,"Madrid, Spain","University of León, 24071 León, Spain.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Transforming Patient Outcomes in GU Oncology
Final Thoughts and Closing,Elena Castro Marcos ,"Madrid, Spain","University of León, 24071 León, Spain.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Transforming Patient Outcomes in GU Oncology
"A Phase 1 Study Of INCA33890, A PD-1/TGFbetaR2 Bispecific Antibody, For Advanced Solid Tumours",Elena Garralda ,"Barcelona, Spain","Department of Medical Oncology, Vall d'Hebron Barcelona Hospital Campus, Spain.",1522MO,Nuremberg Auditorium - Hall 5.2,10/17/2025,15:05 - 15:10,Mini Oral Session,Investigational immunotherapy
Toward novel immunomodulatory strategies,Elizabeth C. Smyth ,"Oxford, United Kingdom","Department of Oncology, Oxford University Hospitals NHS Foundation Trust, Oxford OX3 7LE, UK.",,Munich Auditorium - CityCube B,10/17/2025,16:15 - 16:30,Symposium,"Advancements in biomarker selection, breakthrough therapies and overcoming therapeutic resistance"
Presentation of case/condition,Emanuela Risi ,"Prato, Italy, PO","Department of Oncology, Hospital of Prato, Azienda USL Toscana Centro, Florence, Italy.",,Cologne Auditorium - CityCube A,10/17/2025,14:00 - 14:05,Multidisciplinary Session,How do we integrate our expertise to offer the best treatment for patients with oligometastatic disease?
LBA 109 - DISCUS: A phase II study comparing 3 vs 6 cycles of platinum-based chemotherapy prior to maintenance avelumab in advanced urothelial cancer.,Enrique Grande Pulido ,"Madrid, Spain","Anderson Cancer Center, Madrid, Spain.",,Dortmund Auditorium - Hall 7.1a,10/17/2025,14:40 - 14:50,Proffered Paper,"GU tumours, renal & urothelial"
A Guide to the Guidelines: Strategies for mUC Management,Enrique Grande Pulido ,"Madrid, Spain","Anderson Cancer Center, Madrid, Spain.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,Transforming Patient Outcomes in GU Oncology
Invited Discussant,Eva Wardelmann ,"Muenster, Germany","Gerhard-Domagk-Institute of Pathology, University Hospital Muenster, Germany.",,Essen Auditorium - Hall 7.2a,10/17/2025,16:10 - 16:18,Mini Oral Session,Sarcoma
5-Year Follow-up Results from the POSITIVE (Pregnancy Outcome and Safety of Interrupting Therapy for Women with Endocrine Responsive Breast Cancer) Trial,Fedro A. Peccatori ,"Milan, Italy","Gynecologic Oncology Department, European Institute of Oncology, Milan, Italy.",LBA12,Munich Auditorium - CityCube B,10/17/2025,14:10 - 14:20,Proffered Paper,"Breast cancer, early stage"
How to move forward from early stage,Filippo Pietrantonio ,"Milan, Italy","Medical Oncology Department, Milan, Italy.",,Munich Auditorium - CityCube B,10/17/2025,16:45 - 17:00,Symposium,"Advancements in biomarker selection, breakthrough therapies and overcoming therapeutic resistance"
Invited Discussant,Fiona Thistlethwaite ,"Manchester, United Kingdom","The Christie NHS Foundation Trust and University of Manchester, Manchester, UK.",,Heidelberg Auditorium - Hall 6.2,10/17/2025,16:10 - 16:20,Mini Oral Session,Developmental therapeutics
Targeting DDR,Florence Joly Lobbedez ,"Caen, France","Centre Francois-Baclesse, Medical Oncology, Caen, France.",,Hamburg Auditorium - CityCube A,10/17/2025,16:45 - 17:00,Symposium,How to treat ovarian cancer patients post PARPi therapy?
Home-based supervised physical activity (SPA) for metastatic cancer patients receiving oral targeted therapy: the AFSOS-Unicancer QUALIOR randomized phase 3 Study,Florence Joly Lobbedez ,"Caen, France","Centre Francois-Baclesse, Medical Oncology, Caen, France.",2802O,Hanover Auditorium - Hall 7.2c,10/17/2025,16:50 - 17:00,Proffered Paper,Supportive and palliative care
CONgRAtS: a randomized phase II study of nivolumab+/-relatlimab in patients with TLS-positive soft-tissue sarcomas,Florent Peyraud ,"Bordeaux, France","Department of Medicine, Institut Bergonié, Bordeaux, France, Faculty of Medicine, University of Bordeaux, Bordeaux, France, Bordeaux, France.",2687MO,Essen Auditorium - Hall 7.2a,10/17/2025,16:05 - 16:10,Mini Oral Session,Sarcoma
Career path: Palliative care,Florian Scotte ,"Villejuif, France","Interdisciplinary Department for the Organization of Patient Course (Supportive Care Department), Paris-Saclay University, Villejuif, France.",,Erfurt Auditorium - CityCube A,10/17/2025,16:00 - 16:00,Young Oncologists Session,Young Oncologists Mentorship session
ADCs and other novel drugs,Frederik Marme ,"Mannheim, Germany","Department of Gynecology and Obstetrics, University Hospital Mannheim, Mannheim, Germany.",,Hamburg Auditorium - CityCube A,10/17/2025,16:15 - 16:30,Symposium,How to treat ovarian cancer patients post PARPi therapy?
From Renaissance to Contemporary: Redrawing Survival in dMMR/MSI-H Endometrial Cancer,Frederik Marme ,"Mannheim, Germany","Department of Gynecology and Obstetrics, University Hospital Mannheim, Mannheim, Germany.",,Koblenz Auditorium - Hall 5.2,10/17/2025,10:15 - 11:45,Industry-Sponsored Symposium,Living Longer and Better
Making Biomarker-Driven Treatment Decisions,Frederik Marme ,"Mannheim, Germany","Department of Gynecology and Obstetrics, University Hospital Mannheim, Mannheim, Germany.",,Karlsruhe Auditorium - Hall 5.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,210 - Menarini Stemline - Strategic Treatment Sequencing and Novel Approaches in 2L+ ER+/HER2- mBC
Integrating early supportive and palliative care outside the tertiary cancer centres,Gabor I. Liposits ,"Bolzano, Italy","San Maurizio Central Hospital of Bolzano, BZ, Italy. Electronic address: gaboristvan.liposits@sabes.it.",,Mainz Auditorium - CityCube B,10/17/2025,16:55 - 17:10,Special Session,Community of practice
Selectively targeting HER2 in NSCLC,Gerrina Ruiter ,"Amsterdam, Netherlands","The Netherlands Cancer Institute-Antoni van Leeuwenhoek Hospital, Amsterdam, the Netherlands.",,Koblenz Auditorium - Hall 5.2,10/17/2025,18:00 - 19:30,Industry-Sponsored Symposium,what are the patient perspectives on the future of lung cancer treatment?
Presentation of case/condition,Gil Awada ,"Jette, Belgium","Department of Medical Oncology, Brussels, Belgium.",,Nuremberg Auditorium - Hall 5.2,10/17/2025,16:00 - 16:05,Multidisciplinary Session,"What to de-escalate and for which breast patients? De-escalation in breast surgery, radiation and systemic treatment"
"A phase 1/2 trial of FOG-001, a first-in-class direct beta-catenin:TCF4 inhibitor: safety and preliminary antitumor activity in patients with desmoid tumors",Gregory M. Cote ,"Boston, United States of America","Mass General Cancer Center, Boston, MA, USA.",2688MO,Essen Auditorium - Hall 7.2a,10/17/2025,16:23 - 16:28,Mini Oral Session,Sarcoma
