Abstract #,Poster #,Title,Authors,Institutions
TPS291,M10,Carboplatin in patients with metastatic castration-resistant prostate cancer harboring somatic or germline homologous recombination repair gene mutations: Phase II single-arm trial (CiPHeR).,"Rishabh Jain , Atul Batra , Akash Kumar , Atul Sharma , Ranjit Sahoo , Aparna Sharma , Amlesh Seth , Brusabhanu Nayak , Shamim Ahmed Shamim , Seema Kaushal , Haresh Kunhi Parambath , Chandan Das","All India Institute of Medical Sciences, Dr. B.R.A. Institute-Rotary Cancer Hospital, All India Institute of Medical Sciences, Department of Medical Oncology, All India Institute of Medical Sciences, Department of Medical Oncology, Dr. B.R.A. Institute-Rotary Cancer Hospital, Urology, All India Institute of Medical Sciences, Pathology, All India Institute of Medical Science"
57,B3,Survival outcomes among metastatic castration-resistant prostate cancer patients treated with androgen receptor pathway inhibitor and docetaxel.,"Yunji Hwang , Travis Wheeling , Mark Hatfield , Christopher Kim","Amgen, Inc."
168,E7,"Efficacy and safety of nanosomal docetaxel lipid suspension in Indian patients with metastatic castration-resistant prostate cancer (mCRPC): A multicenter, open-label, single-arm phase 4 study.","Prabrajya Mohapatra , Bharat Vaswani , Padmaj Kulkarni , Rakesh Reddy , Nikhil Ghadyalpatil , Chandan Das , Ranga Raman Ganta , Radhika Parimkayala , Sourav Mishra , Francis James , Bhushan Nemade , Rajeev Sood , Ateeq Ahmad , Saifuddin Sheikh , Shoukath Ali , Mahesh Paithankar , Anil Rajani , Alok Chaturvedi , Imran Ahmad , Deepak Bunger","Apollo Gleneagles Hospitals, Yashoda Hospitals, Secunderabad, Deenanath Mangeshkar Hospital and Research Centre, Mahatma Gandhi Cancer Hospital and Research Institute, Yashoda Hospital, Post Graduate Institute of Medical Education and Research, HCG City Cancer Centre, MNJ Institute of Oncology and Regional Cancer Centre, All India Institute of Medical Sciences, Bhubaneswar, Regional Cancer Centre, Trivandrum, Navsanjeevani Hospital Nashik, Dr. Ram Manohar Lohia Hospital and Postgraduate Institute of Medical Research, Jina Pharmaceuticals Inc, Jina Pharmaceuticals, Intas Pharmaceuticals Ltd., Intas Pharmaceuticals Ltd. (Biopharma Division)"
669,C2,"Understanding diversity and disparities in a real-world locally advanced/metastatic urothelial carcinoma (la/mUC): Clinical characteristics, genomic landscape, and self-reported social determinants of health (SDOH).","Nimira Alimohamed , Amanda Gibson , Michelle Dean , Tracy Xu , Megha Murali , Roba Banjaw , Naveen Basappa , Tarek Bismar , Navdeep Dehar , Safiya Karim , Michael Kolinsky , Daniel Heng , Richard Lee-Ying , Vishal Navani , Scott North , Joseph Ruether , Amina Taleb , Brendan Osborne , Pinaki Bose , Steven Yip","Arthur JE Child Comprehensive Cancer Centre, POET Oncology, Cumming School of Medicine, University of Calgary, Cross Cancer Institute, University of Alberta, Cumming School of Medicine, University of Calgary, Cross Cancer Institute, Jack Ady Cancer Centre, Alberta Health Services, Janssen Inc. Canada"
656,K4,"Paclitaxel, ifosfamide, cisplatin (TIP) in patients with advanced urethral adenocarcinoma: A single center, retrospective analysis.","Gwanhyun Park , Inkeun Park , Shinkyo Yoon , Jae Lyun Lee","Asan Medical Center, Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine"
640,J25,Clinical experience with EMACO chemotherapy in male choriocarcinoma: A single-center study.,"Gwanhyun Park , Inkeun Park , Shinkyo Yoon , Jae Lyun Lee","Asan Medical Center, Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Asan Medical Center, University of Ulsan College of Medicine"
547,G14,"Cabozantinib as subsequent therapy to an immune checkpoint-based therapy in renal cell carcinoma, phase 2 interventional study (AT ASIA, KCSG GU21-02).","Jae Lyun Lee , Sang Joon Shin , Inkeun Park , Woo Kyun Bae , Shinkyo Yoon , In-Ho Kim , Hong Jae Chon , Byoung Young Shim , Jin Young Kim , Jung Hoon Kim , Joo-Hwan Park , Il Hwan Kim , Miso Kim , Kwonoh Park , Hyo Jin Lee","Asan Medical Center, University of Ulsan College of Medicine, Division of Medical Oncology, Department of Internal Medicine, Yonsei Cancer Center, Yonsei University College of Medicine, Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Chonnam National University Hwasun Hospital, Asan Medical Center, Division of Oncology, Department of Internal Medicine, Seoul St. Mary's Hospital, CHA Bundang Medical Center, CHA University, St. Vincent's Hospital, Keimyung University Dongsan Hospital, Division of Hematology/Oncology, Department of Internal Medicine, Pusan National University Yangsan Hospital, Division of Medical Oncology, Department of Internal Medicine, Gachon University School of Medicine, Gil Medical Center, Division of Oncology, Department of Internal Medicine, Haeundae Paik Hospital, Inje University College of Medicine, Department of Internal Medicine, Seoul National University Hospital, Seoul National University College of Medicine, Hanyang University Seoul Hospital, Hanyang University College of Medicine, Department of Medical Science and Internal Medicine, College of Medicine, Chungnam National University"
258,G31,A liquid biopsy-based proteomic assay to identify circulating tumor cell (CTC) –derived druggable targets in cancer patients.,"Alec Horrmann , Ali Arafa , Kaylee Kamalanathan , Alexa Hesch , Grant Schaap , Zikora Izuora , Mahdi Ahmadi , Badrinath Konety , Howard Scher , Emmanuel Antonarakis , Jiarong Hong , Justin Drake","Astrin Biosciences, University of MInnesota, University of Minnesota, Memorial Sloan Kettering Cancer Center, University of Minnesota, Masonic Cancer Center"
777,F4,Treatment of low-grade intermediate-risk non-muscle-invasive bladder cancer with UGN-102: Results of the phase 3 ATLAS and ENVISION studies.,"Sandip Prasad , Brian Hu , Marc Bjurlin , Dimitar Shishkov , Nikola Mihaylov , Alexandre Khuskivadze , Pencho Genov , Vasyl Terzi , Max Kates , William Huang , Michael Louie , Sunil Raju , Brent Burger , Andrew Meads , Mark Schoenberg","Atlantic Medical Center, Department of Urology, Loma Linda University, Department of Urology, University of North Carolina, Department of Urology, University Multiprofile Hospital for Active Treatment, Urology Department, Georgia Israel Joint Clinic Gidmedi, Urology Department, University Multiprofile Hospital for Active Treatment Kanev, Multiprofile Hospital for Active Treatment Varna Military Medical Academy, The Johns Hopkins University School of Medicine, New York University Langone Medical Center, UroGen Pharma, The Department of Urology, Montefiore Einstein"
776,F3,Impact of tumor burden or focality in recurrent low-grade intermediate-risk non-muscle-invasive bladder cancer on response to treatment with UGN-102: A substudy of the phase 3 ENVISION trial.,"Sandip Prasad , Dimitar Shishkov , Nikola Mihaylov , Alexandre Khuskivadze , Pencho Genov , Vasyl Terzi , Max Kates , William Huang , Michael Louie , Sunil Raju , Brent Burger , Andrew Meads , Mark Schoenberg","Atlantic Medical Center, Department of Urology, University Multiprofile Hospital for Active Treatment, University Multiprofile Hospital for Active Treatment, Urology Department, Georgia Israel Joint Clinic Gidmedi, Urology Department, University Multiprofile Hospital for Active Treatment Kanev, Multiprofile Hospital for Active Treatment Varna Military Medical Academy, The Johns Hopkins University School of Medicine, New York University Langone Medical Center, UroGen Pharma, The Department of Urology, Montefiore Einstein"
397,K27,Impact of BRCA status in patients with castrate-resistant prostate cancer undergoing abiraterone +/- stereotactic body radiotherapy: ARTO trial.,"Giulio Francolini , Vanessa Di Cataldo , Pietro Garlatti , Niccolò Bertini , Michele Aquilano , Saverio Caini , Gianluca Ingrosso , Alessio Bruni , Rolando D'Angelillo , Luca Tagliaferri , Matteo Augugliaro , Luca Triggiani , Silvana Parisi , Gabriele Simontacchi , Barbara Jereczek-Fossa , Filippo Alongi , Fabio Arcidiacono , Andrea Lancia , Marta Scorsetti , Lorenzo Livi","Azienda Ospedaliero Universitaria Careggi, University of Florence, Radiation Oncology Unit, Azienda Ospedaliera Universitaria Careggi, University of Florence, Department of Biomedical, Experimental and Clinical Sciences ""Mario Serio"", University of Florence, IFCA, Radiation Oncology Department, Cancer Risk Factors and Lifestyle Epidemiology Unit, Institute for Cancer Research, Prevention and Clinical Network (ISPO), Radiation Oncology Section, Department of Medicine and Surgery, University of Perugia, Radiation Oncology Unit, Department of Oncology and Hematology, University Hospital of Modena, Radiation Oncology, Department of Biomedicine and Prevention University of Rome ""Tor Vergata"", Fondazione Policlinico Universitario Agostino Gemelli, IRCCS, Unit of Radiotherapy, Azienda USL, IRCCS di Reggio Emilia, Università degli Studi di Brescia, Department of Radiation Oncology, Brescia University, Radiation Oncology Unit - Department of Biomedical, Dental Science and Morphological and Functional Images, University of Messina, University of Milan and European Institute of Oncology, IRCCS, IRCCS Sacro Cuore Don Calabria Hospital, Department of Advanced Radiation Oncology, Negrar, Radiation Oncology Centre, S. Maria Hospital, Fondazione IRCCS Policlinico San Matteo, Department of Radiation Oncology, Department of Radiotherapy and Radiosurgery, IRCCS - Humanitas Clinical and Research Center -"
444,,Final overall survival and new ctDNA analysis in MET-driven advanced papillary renal cancer (CALYPSO).,"Francesca Jackson-Spence , James Larkin , Poulam Patel , Begoña Valderrama , Alejo Rodriguez-Vida , Maria Jose Mendez-Vidal , Merrida Childress , Wenshu Li , Patrick Boyle , Amaya Gasco , Aleksandra Markovets , Ryan Hartmaier , Charlotte Ackerman , Bernadett Szabados , Garima Priyadarshini , Fahmida Jamal , Thomas Powles , Cristina Suárez","Barts Cancer Centre, Royal Marsden Hospital, Nottingham University Hospital NHS Trust, Hospital Universitario Virgen del Rocío, Hospital del Mar, Hospital Reina Sofia, Foundation Medicine Inc., Foundation Medicine, Foundation Medicine, Inc., Oncology Data Science, Oncology R&D, AstraZeneca, AstraZeneca R&D Boston, Centre for Experimental Cancer Medicine, Barts Cancer Institute, Queen Mary University of London, Barts Cancer Centre, Queen Mary University of London, Barts Cancer Institure, Barts Cancer Institute, Medical Oncology, Vall d'Hebron Institute of Oncology, Vall d'Hebron University Hospital"
525,F23,Improving health related quality of life (HRQoL) assessment and immune related adverse event (irAE) classification with novel tools in renal cancer.,"Elizabeth Nally , Gemma Ainsworth , Sarah Brown , Cristiane Bergerot , Connor Wells , Matthew Young , Tanith Westerman , Sara Coca , Francesca Jackson-Spence , Bernadett Szabados , Sumanta Pal , Thomas Powles , Naveen Vasudev","Barts Cancer Institute, Leeds Institute of Clinical Trials Research, University of Leeds, Oncoclinicas & Co, Medica Scientia Innovation Research (MEDSIR), Barts Cancer Institute, Queen Mary University of London, Barts Cancer Centre, Department of Medical Oncology, City of Hope Comprehensive Cancer Center, Barts Cancer Centre, Cancer Research UK Experimental Cancer Medicine Centre, Queen Mary University of London, St James's University Hospital"
451,D19,Systemic therapy clinical trial participation in patients with bladder and kidney cancers.,"Connor Wells , Elizabeth Nally , Francesca Jackson-Spence , Sara Coca , Tanith Westerman , Matthew Young , Bernadett Szabados , Thomas Powles","Barts Cancer Institute, Queen Mary University of London, Barts Cancer Institute, Barts Cancer Centre, Barts Cancer Centre, Cancer Research UK Experimental Cancer Medicine Centre, Queen Mary University of London"
664,,EV-302: Updated analysis from the phase 3 global study of enfortumab vedotin in combination with pembrolizumab (EV+P) vs chemotherapy (chemo) in previously untreated locally advanced or metastatic urothelial carcinoma (la/mUC).,"Thomas Powles , Michiel Van Der Heijden , Yohann Loriot , Jens Bedke , Begoña Valderrama , Gopa Iyer , Eiji Kikuchi , Jeannie Hoffman-Censits , Christof Vulsteke , Alexandra Drakaki , Steffen Rausch , Waddah Arafat , Se Hoon Park , Umang Swami , Jian-Ri Li , Seema Gorla , Blanca Homet Moreno , Xuesong Yu , Yi-Tsung Lu , Shilpa Gupta","Barts Cancer Institute, Queen Mary University of London, Department of Medical Oncology, Netherlands Cancer Institute, Gustave Roussy, Département de Médecine Oncologique et Département des Essais Précoces, Université Paris-Saclay, Department of Urology & Eva Mayr-Stihl Cancer Center, Hospital Universitario Virgen del Rocío, Genitourinary Oncology, Memorial Sloan Kettering Cancer Center, Department of Urology, St Marianna University School of Medicine, The Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins Medical Institutions, Department of Medical Oncology, Maria Middelares Hospital, University of California, Los Angeles Medical Center, Department of Urology, Eberhard Karls University, Simmons Comprehensive Cancer Center, University of Texas Southwestern Medical Center, Samsung Medical Center, Sungkyunkwan University School of Medicine, Department of Medicine, Huntsman Cancer Institute at the University of Utah, Division of Urology, Department of Surgery, Taichung Veterans General Hospital, Astellas Pharma, Inc., Merck & Co., Inc., Pfizer Inc., Cleveland Clinic"
99,C9,Real-world treatment patterns and survival in men with metastatic castration-resistant prostate cancer (mCRPC) who previously progressed from metastatic hormone-sensitive prostate cancer (mHSPC) between 2020 to 2023 in the United States.,"Amit Raval , Guifang Chen , Matthew Korn , Andreas Bernthaler , Niculae Constantinovici , Stephen Freedland","Bayer HealthCare Pharmaceuticals, Inc., Bayer AG, Bayer Consumer Care AG, Department of Urology, Samuel Oschin Comprehensive Cancer Institute, Cedars-Sinai Medical Center"
99,C9,Real-world treatment patterns and survival in men with metastatic castration-resistant prostate cancer (mCRPC) who previously progressed from metastatic hormone-sensitive prostate cancer (mHSPC) between 2020 to 2023 in the United States.,"Amit Raval , Guifang Chen , Matthew Korn , Andreas Bernthaler , Niculae Constantinovici , Stephen Freedland","Bayer HealthCare Pharmaceuticals, Inc., Bayer AG, Bayer Consumer Care AG, Department of Urology, Samuel Oschin Comprehensive Cancer Institute, Cedars-Sinai Medical Center"
101,C11,Treatment patterns and survival in men with metastatic castration-resistant prostate cancer (mCRPC): A systematic literature review of 35 real-world observational studies.,"Amit Raval , Viji Queen V , Matthew Korn , Vanessa Quintero , Stephen Freedland","Bayer HealthCare Pharmaceuticals, Inc., CapeStart Inc, Department of Urology, Samuel Oschin Comprehensive Cancer Institute, Cedars-Sinai Medical Center"
116,C26,Evaluating clinical tools to monitor cardiovascular (CV) risk in men with localized high-risk or locally advanced prostate cancer (LHRPC) treated with hormone therapy (HT).,"Neha Venkatesh , Pankaj Chauhan , Kabir Grewal , Ana Aparicio , Patrick Pilié , Sumit Subudhi , Paul Corn , Bilal Siddiqui , Amado Zurita , Daniel Frigo , Christopher Logothetis , Pavlos Msaouel , Efstratios Koutroumpakis , Andrew Hahn","Baylor College of Medicine, The University of Texas MD Anderson Cancer Center, Department of Genitourinary Medical Oncology, The University of Texas MD Anderson Cancer Center, Cardiology Department, The University of Texas MD Anderson Cancer Center"
545,G12,The influence of body composition on the survival of patients with metastatic clear cell renal carcinoma (mccRCC) treated with nivolumab (nivo) + ipilimumab (ipi).,"Kabir Grewal , Pankaj Chauhan , Sagar Mukhida , Nizar Tannir , Neha Venkatesh , Amishi Shah , Amado Zurita , Andrew Johns , Matthew Campbell , Sangeeta Goswami , Jianjun Gao , Eric Jonasch , Jennifer McQuade , Omar Alhalabi , Pavlos Msaouel , Andrew Hahn","Baylor College of Medicine, The University of Texas MD Anderson Cancer Center, University of Texas MD Anderson Cancer Center, Department of Genitourinary Medical Oncology, The University of Texas MD Anderson Cancer Center"
189,E28,Prostate cancer liver metastases: Genomic profiling and clinical outcomes.,"Hayley Roberts , Yi Jou Ruby Liao , Cameron Herberts , Sofie Tolmeijer , Catherine Wang , Anna Riminchan , Elsa Sartori-Muller , Edmond Kwan , Matti Annala , Nicolette Fonseca , Joanna Vergidis , Krista Noonan , Daygen Finch , Muhammad Zulfiqar , Miller Stacy , Gillian Vandekerkhove , Alexander Wyatt , Corinne Maurice-Dror , Kim Chi","BC Cancer, Vancouver Prostate Centre, Department of Urologic Sciences, University of British Columbia, Vancouver Prostate Centre, University of British Columbia, BC Cancer, Victoria, Department of Medical Oncology, BC Cancer, British Columbia Cancer Agency, BC Cancer Agency, The University of British Columbia, BC Cancer, Vancouver Cancer Centre, University of British Columbia, BC Cancer, Vancouver Cancer Centre"
62,B8,Reflexive paired somatic and germline testing at time of medical oncology referral in mCSPC: Impact on timely treatment.,"Richard Gagnon , Emma Hoag , Alexandra Olsen , Andrew Attwell , Adam Fundytus , Joanna Vergidis , Sunil Parimi , Eric Sonke , Nimira Alimohamed , Steven Yip , Corinne Maurice Dror , Kim Chi , Madison Hinkley , Jean-Michel Lavoie","BC Cancer, Victoria, British Columbia Cancer Agency, University of Calgary, Tom Baker Cancer Centre, Department of Medical Oncology, BC Cancer, University of British Columbia, BC Cancer, Vancouver Cancer Centre, University of British Columbia"
657,,"Nectin-4 targeted ADC, SHR-A2102, in patients with advanced or metastatic urothelial carcinoma: A phase 1 study.","Bixia Tang , Xinan Sheng , Jun Guo , Haitao Niu , Yali Shen , Shusuan Jiang , Bin Fu , Jianming Guo , Wasilijiang Wahafu , Kai Yao , Nan Liu , Jiang Gu , Yu Chen , Zhenhua Li , Tianxin Lin , Liping Ma , Jiaqin Lin , Chi Zhang , Wenliang Wang","Beijing Cancer Hospital, Key Laboratory of Carcinogenesis and Translational Research, Ministry of Education, Peking University, The Affiliated Hospital of Qingdao University, West China Hospital, Sichuan University, Hunan Cancer Hospital, The First Affiliated Hospital of Nanchang University, Zhongshan Hospital, Fudan University, Shanxi Provincial Cancer Hospital, Sun Yat-sen University Cancer  Center, Chongqing University Cancer Hospital, The Affiliated Hospital of Guizhou Medical University, Department of Medical Oncology, Clinical Oncology School of Fujian Medical University, Fujian Cancer Hospital, Shengjing Hospital Of China Medical University, Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Peking University Shougang Hospital, Jiangsu Hengrui Pharmaceuticals Co., Ltd, Jiangsu Hengrui Pharmaceuticals Co., Ltd"
27,A5,Treatment patterns and survival outcomes in metastatic castration-resistant prostate cancer in the Brazilian population: LACOG 1818.,"Fernando Maluf , Suelen Martins , Deusdedit Silva Neto , Daniel Girardi , Jose Augusto Rinck Jr , Ana Caroline Alves , Thiago Almeida , Andréa de Souza , Daniel Araujo , Aline Lara Gongora , Diogo Bastos , Cristina Sampaio , Augusto Mota , Andre Fay , Roberto Rocha , Douglas Dias e Silva , Tainá Cabalheiro , Pablo Barrios , Gustavo Gössling , Andrey Soares","BP - A Beneficência Portuguesa de São Paulo, Centro de Estudos e Pesquisas de Hematologia e Oncologia (CEPHO), Faculdade de Medicina do ABC (FMABC), Irmandade Santa Casa de Misericórdia de São Paulo, Hospital Sírio-Libanês, and Hospital de Base do Instituto de Gestão Estratégica em Saúde do Distrito Federal (IGESDF), A.C. Camargo Cancer Center, Hospital de Oncologia do Maranhão Dr. Tarquínio Lopes Filho, Hospital Napoleão Laureano, Universidade Federal da Paraiba, Instituto de Medicina Integral Professor Fernando Figueira (IMIP), and Instituto Santa Joana de Ensino e Pesquisa, Hospital Santa Joana Recife, Hospital de Base - Faculdade de Medicina de São José do Rio Preto (FAMERP), Hospital do Câncer de Cascavel - União Oeste Paranaense de Estudos e Combate ao Cancer (UOPECCAN), Hospital Sírio-Libanês, Clinica Prognóstica, Centro de Pesquisa Clínica Onconeo, Instituto ETICA, Clínica AMO (Assistência Multidisciplinar em Oncologia), Centro de Pesquisa em Oncologia (CPO) - Hospital São Lucas da PUCRS, Porto Alegre, Brazil and Hospital Nora Teixeira - Santa Casa de Porto Alegre, Hospital Santa Marcelina, Hospital Israelita Albert Einstein (HIAE), Latin American Cooperative Oncology Group (LACOG), Centro Paulista de Oncologia (CPO), and Hospital Israelita Albert Einstein (HIAE)"
590,H25,Association between PD-1 expression on tumor-infiltrating regulatory T cells and resistance to first-line nivolumab in advanced clear cell renal cell carcinoma: Insights from the HCRN GU16-260 clinical trial.,"Razan Mohanna , Berkay Simsek , Nourhan El Ahmar , Opeyemi Jegede , Sayed Matar , Morgan Paul , Yasmin Nabil Laimon , Gabriel Roberti De Oliveira , Andrew Delcea , Toni Choueiri , David Braun , Naomi Haas , Hans Hammers , Mehmet Bilen , Mark Stein , Jeffrey Sosman , Catherine Wu , David McDermott , Michael Atkins , Sabina Signoretti","Brigham and Women's Hospital, Brigham and Women's Hospital, Harvard Medical School, DFCI, Yale School of Medicine, Dana-Farber Cancer Institute, Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Brigham and Women’s Hospital, and Harvard Medical School, Center of Molecular and Cellular Oncology, Yale University, Abramson Cancer Center, University of Pennsylvania, Department of Internal Medicine, Division of Hematology and Oncology, UT Southwestern, Winship Cancer Institute of Emory University, Columbia University Medical Center, Northwestern University, Beth Israel Deaconess Medical Center, Georgetown Lombardi Comprehensive Cancer Center"
598,H33,Evaluating the combined role of HHLA2 and PD-L1 as biomarkers in first-line nivolumab therapy in advanced clear cell renal cell carcinoma.,"Yasmin Nabil Laimon , Nourhan El Ahmar , Opeyemi Jegede , Aseman Baghari Sheshdeh , Gordon Freeman , David McDermott , Michael Atkins , Sabina Signoretti , Kathleen Mahoney","Brigham and Women's Hospital, DFCI, Kansas City University College of Osteopathic Medicine, Dana-Farber Cancer Institute, Beth Israel Deaconess Medical Center, Dana-Farber/Harvard Cancer Center, Georgetown Lombardi Comprehensive Cancer Center, Beth Israel Deaconess Medical Center"
83,B29,Efficacy outcomes 12 months after initiation of darolutamide in non-metastatic castrate resistant prostate cancer (nmCRPC) from the real world UK multi-centre RECORD study.,"Amarnath Challapalli , Amit Bahl , Manreet Randhawa , Omi Parikh , Santhanam Sundar , Alison Birtle , Jahangeer Malik , Mark Prentice , Dakshinmoorthy Muthukumar , Rajanee Bhana , Kamalram Jayaprakash , Isabel Syndikus , Anita Mitra , Thiraviyam Elumalai , Emma Gray , Hilary Glen , Mark Beresford , Vincent Khoo , Emily Foulstone , Paul White","Bristol Haematology and Oncology Centre, University Hospitals Bristol and Weston NHS Foundation Trust, Beatson West of Scotland Cancer Centre, NHS Greater Glasgow and Clyde, Royal Blackburn Teaching Hospital, East Lancashire Hospitals NHS Foundation Trust, Nottingham City Hospital, Nottingham University Hospitals NHS Trust, Royal Preston Hospital, Lancashire Teaching Hospitals NHS Foundation Trust, Edinburgh Cancer Centre, Western General Hospital, Royal Free Hospital, Colchester General Hospital, East Suffolk and North Essex NHS Foundation Trust, Royal Stoke University Hospital, University Hospitals of North Midlands NHS Trust, The Queen Elizabeth Hospital King's Lynn, Clatterbridge Cancer Centre NHS Foundation Trust, UCLH - University College London Hospitals NHS Foundation Trust, Addenbrooke's Hospital, Cambridge University Hospitals NHS Foundation Trust, Musgrove Park Hospital, Somerset NHS Foundation Trust, Ninewells Hospital and Medical School,  NHS Tayside, Royal United Hospital Bath, The Royal Marsden NHS Foundation Trust, University of the West of England"
1,,EPIC-A: Phase II trial of cemiplimab plus standard of care chemotherapy followed by maintenance cemiplimab in locally advanced or metastatic penile carcinoma.,"Amit Bahl , Amarnath Challapalli , Balaji Venugopal , Mehran Afshar , Constantine Alifrangis , Alastair Thomson , Anna Tran , Andrew Hudson , Christopher Kent , Jim Barber , Helen Dearden , Rachel Pearson , Vivekanandan Kumar , Robert Wade , Alicia Bravo , Emily Foulstone , Paul White","Bristol Haematology and Oncology Centre, University Hospitals Bristol and Weston NHS Foundation Trust, Beatson West of Scotland Cancer Centre, St. George's University Hospitals NHS FT, University College London Hospitals NHS Foundation Trust, Royal Cornwall Hospitals NHS Trust, The Christie NHS Foundation Trust, Leicester Royal Infirmary, University Hospitals of Leicester NHS Trust, Velindre Cancer Centre, Leeds Teaching Hospitals NHS trust, Northern Centre for Cancer Care (NCCC), Norfolk and Norwich University Hospital, University of the West of England"
